id,idade,salario,departamento,target
1,25,3500,TI,1
2,32,4200,Financeiro,0
3,40,5200,Marketing,1
4,29,3100,TI,0
5,35,4500,Financeiro,1
6,50,6000,Marketing,0
7,28,3300,TI,1
8,45,5800,Financeiro,0
9,38,4900,Marketing,1
10,30,3700,TI,0
11,26,3600,TI,1
12,33,4300,Financeiro,0
13,41,5400,Marketing,1
14,31,3200,TI,0
15,36,4600,Financeiro,1
16,51,6100,Marketing,0
17,29,3400,TI,1
18,46,5900,Financeiro,0
19,39,5000,Marketing,1
20,30,3800,TI,0
21,27,3550,TI,1
22,34,4400,Financeiro,0
23,42,5500,Marketing,1
24,32,3250,TI,0
25,37,4700,Financeiro,1
26,52,6200,Marketing,0
27,28,3450,TI,1
28,47,6000,Financeiro,0
29,40,5100,Marketing,1
30,31,3900,TI,0
31,26,3650,TI,1
32,35,4500,Financeiro,0
33,43,5600,Marketing,1
34,33,3300,TI,0
35,38,4800,Financeiro,1
36,53,6300,Marketing,0
37,29,3500,TI,1
38,48,6100,Financeiro,0
39,41,5200,Marketing,1
40,30,4000,TI,0
41,27,3600,TI,1
42,36,4600,Financeiro,0
43,44,5700,Marketing,1
44,32,3350,TI,0
45,39,4900,Financeiro,1
46,54,6400,Marketing,0
47,28,3550,TI,1
48,49,6200,Financeiro,0
49,42,5300,Marketing,1
50,31,4100,TI,0
